,238pu,239pu,240pu,241pu,242pu,241am,out_238pu,out_239pu,out_240pu,out_241pu,out_242pu,out_241am,Frac_BOC,Frac_EOC
0,0.005725729708254792,0.521715243087265,0.29281659371457747,0.13113773194957734,0.013695276966164708,0.03490942457416069,0.028260087427752604,0.3805919573066675,0.3091682497576051,0.18960628641418661,0.06874062885351241,0.023632790240275793,0.07261656093405651,0.05619658472264903
1,0.02856637631031234,0.5591266628668831,0.2309291633046019,0.06828456814591272,0.10014357836422573,0.012949651008064222,0.035552575229508006,0.385140832898997,0.2748365289193864,0.15760822800521845,0.13293007143568045,0.013931763511209672,0.07674109168830635,0.05914146091181341
2,0.030146534853003518,0.5432104554304485,0.1844487094967931,0.15569203578418425,0.06940650630949952,0.017095758126071073,0.04261990379773137,0.39075470877387447,0.24773437895065598,0.1751606548124629,0.1270281257745911,0.016702227890684113,0.06418879959360785,0.0476351278271934
3,0.004547540738582909,0.5632139164041837,0.13051101814690258,0.1324125347964228,0.11848674691620023,0.050828242997707704,0.037304601421230266,0.38967414240035037,0.21761644753309356,0.15642168259074785,0.17568221133320172,0.023300914721376253,0.06451223227991426,0.047296199271468185
4,0.03734668786518437,0.6930982722502204,0.11397742545769812,0.029201436088717978,0.08239122986743187,0.04398494847074733,0.05876394936749907,0.4475081957669365,0.23051680611714548,0.13554493987434998,0.10865862965584382,0.01900747921822509,0.06618766797474963,0.049276094236810515
5,0.021114003381538602,0.6130283254637909,0.18956410770736082,0.020917990188172992,0.11440614456938072,0.04096942868975604,0.04132002556351628,0.4077869996527426,0.2563814750515206,0.1366395473883686,0.13808550725142935,0.019786445092422562,0.07821545964445797,0.060277153295761915
6,0.03047747589390992,0.33908144345115326,0.2881997610382975,0.18617467006468533,0.13168308825059089,0.024383561301363134,0.04468245407689032,0.2912338816965912,0.2696937744687352,0.18189934895815343,0.19005095455257634,0.022439586247053566,0.0899635043507148,0.07114395646155813
7,0.029062950677219205,0.4388077947100064,0.28067904427473594,0.07292331520434722,0.14222785638938243,0.03629903874430886,0.044786885901850614,0.3286997930169724,0.28291686519412157,0.14813804103048428,0.17242012893581196,0.023038285920759113,0.10186698207425794,0.08234829347244138
8,0.04713760370911018,0.43588728298400153,0.21340206141902593,0.08347942637860811,0.17179122508151032,0.04830240042774391,0.06645032641452858,0.32943059903433236,0.23367177866676084,0.13723161325898323,0.20716907389599215,0.02604660872940294,0.09894210865358749,0.07916756364141327
9,0.030432689043131823,0.37103380450179196,0.2936402020187493,0.0767051049274027,0.18924160905228332,0.03894659045664107,0.04561607996534814,0.29029456851377755,0.2812924649812563,0.1390577873492859,0.2187097894582466,0.025029309732085617,0.12136481530059051,0.10047102064981026
